Description,Category
GUAIFENESIN 100'S U-D 100MG/5ML SYRUP,OTC
GAS RELIEF 125MG TAB CHEW,OTC
DISULFIRAM 250MG TABLET,RX
LEVOFLOXACIN-D5W 500MG/100ML PIGGYBACK,IV DRUG
"CEFTAZIDIME SDV, LATEX-FREE 1GM VIAL",IV DRUG
AMPICILLIN-SULBACTAM 3GM VIAL,IV DRUG
AMPICILLIN SODIUM 2GM VIAL,IV DRUG
VIRT-CAPS 1MG CAPSULE,RX
NASAL DECONGESTANT PE 10MG TABLET,OTC
"IPRATROPIUM-ALBUTEROL U-D, 30'S, 1VL/POUCH 0.5-3MG",RX
CENTRUM MEN TABLET 8-200-600 TABLET,OTC
ACIDOPHILUS/PECTIN X/S 3BIL,OTC
SPIRIVA RESPIMAT 2.5 MCG #60,RX
AMOX TR-K CLV 500-125MG TAB,RX
SODIUM BICARB 325 MG TABLET,OTC
HYDROGEL GEL,OTC
HYDROGEL AMORPHOUS DRESSING,OTC
AMERIGEL WOUND DRESSING GEL,OTC
"FLAXSEED OIL 1,000 MG SFTGL",OTC
FLOVENT HFA 220 MCG INHALER,RX
SM PAIN RELIEVER PM CAPLET,OTC
ACETAMINOPHEN PM CAPLET,OTC
MAGNESIUM 250 MG CAPLET,OTC
SM PAIN RELIEVER ER 650 MG,OTC
"VITAMIN D3 1,000 UNIT TAB CHEW",OTC
SIMETHICONE CHW 125MG,OTC
PIPER/TAZO 2.25GM/50ML D5W,IV DRUG
CEFTRIAXONE 1GM/50ML D5W,IV DRUG
CEFEPIME HCL 1GM VIAL,IV DRUG
DESMOPRESSIN ACETATE 10MCG/0.1ML SPRAY/PUMP,RX
FERREX 150 PLUS 150-50-50 CAPSULE,OTC
MAGIC MOUTHWASH MOUTHWASH,RX
MULTIGEN PLUS 151-60-1MG TABLET,OTC
CYCLOSPORINE 0.05 % DROPERETTE,RX
AJ IV TPN REPORT,RECORDS/REPORTS/FORMS
TPN SOLUTION 1440 MLS (CLINISOL /DEXTROSE IN WATER,IV DRUG
TIMOLOL MALEATE OPHTH (TIMOPTIC) 0.5% DROPS,RX
NABUMETONE 750MG TABLET,RX
OXAZEPAM CAP 30MG,RX
LOKELMA PAK 10GM,RX
APIDRA INJ U-100,RX
CLENPIQ SOL,RX
"RETACRIT 20,000U/ML",RX
MEMANTINE HCL ER 21 MG CAPSULE,RX
VELTASSA 25.2 GM POWDER PACKET,RX
RIZATRIPTAN 5 MG ODT,RX
CAPTOPRIL 12.5 MG TABLET,RX
YUVAFEM 10 MCG VAGINAL INSERT,RX
METOPROLOL TART. 50 MG TAB,RX
VANCOMYCIN 750MG/250ML NS*VM,IV DRUG
NITROGLYCERIN 0.4 MG/HR PATCH,RX
LOXAPINE 25 MG CAPSULE,RX
CEFAZOLIN 2 GM/100ML D5W FROZ,IV DRUG
SODIUM CHLORIDE 0.9% SOLUTION,IV DRUG
ADVAIR 100-50 DISKUS,RX
NEOMYCIN-POLYMYX-HC EAR SOL'N,RX
ONE-A-DAY WOMENS 50+ ADV TAB 400-500-20 TABLET,OTC
LEVETIRACETAM ER F/C 500MG TAB ER 24H,RX
"FOLBEE S/F, D/F 1-2.5-25MG 1-2.5-25MG TABLET",RX
PHENTERMINE HCL 37.5MG TABLET,RX
ICY HOT CREAM (G),OTC
TETRACYCLINE HCL 500MG CAPSULE,RX
CARBIDOPA/LEVODOPA 25MG-100MG 25MG-100MG TABLET,RX
SSD 1% CREAM,RX
GUAIASORB DM 100-10MG/5 LIQUID,OTC
POTASSIUM CITRATE 10MEQ TABLET SA,RX
ONCOVITE 12'S TABLET,OTC
IV START KIT CHLRA TEGDRM NEXI KIT,IV SUPPLY
KRILL OIL TRIPLE STRENGTH 1000-130MG CAPSULE,OTC
VITAMIN B COMPLEX-VITAMIN C 400MCG TABLET,OTC
ESTRADIOL 2MG TABLET,RX
MORPHINE SULF ER 15MG TABLET SA,RX
STEGLATRO 15MG TABLET,RX
BUSPIRONE HCL 30MG TABS,RX
TEMAZEPAM 7.5MG CAPS,RX
FROVATRIPTAN SUCCINATE 2.5MG TABS,RX
VAZALORE 81MG CAPS,OTC
FENOFIBRATE 200MG CAPS,RX
CALCIUM CITR+D 315MG/250U TABS,OTC
ONE-A-DAY WOMENS CHEW,OTC
DILTIAZEM HCL ER 180MG CP24,RX
SWEEN 24 CREAM CREA,OTC
XTAMPZA ER 13.5MG C12A,RX
ALLEGRA-D 24 HOUR ALLERGY & CONGESTION TB24,OTC
AMPHETAMINE/DEXTROAMPHETAMINE TABS,RX
APO-VARENICLINE 1MG TABS,RX
ALLERGY 4MG TABS,OTC
VITAMIN D3 1.25MG CAPS,OTC
EZETIMIBE/SIMVASTATIN TABS,RX
NEBIVOLOL HYDROCHLORIDE 10MG TABS,RX
CYCLOBENZAPRINE HYDROCHLORIDE ER 15MG CP24,RX
TOLTERODINE TARTRATE 1MG TABS,RX
ASMANEX TWISTHALER 60 METERED DOSES 220MCG/INH AEPB,RX
HYOSCYAMINE SULFATE ER 0.375MG TB12,RX
PREMARIN 0.625MG/GM CREA,RX
VITAMIN A 8000UNIT CAPS,OTC
CEFIXIME 100MG/5ML SUSR,RX
CANN-EASE NASAL MOIST GEL GEL,OTC
CYCLOSPORINE 0.0005 EMUL,RX
ACETAZOLAMIDE 250MG TABS,RX
SERTRALINE HCL 20MG/ML CONC,RX
ACIDOPHILUS/PECTIN CAPS,OTC
GERITOL COMPLETE TABS,OTC
IMODIUM MULTI-SYMPTOM RELIEF TABS,OTC
MULTI FOR HER 50+ CAPS,OTC
DESVENLAFAXINE ER 100MG TB24,RX
VIIBRYD 40MG TABS,RX
PSEUDOEPHEDRINE HCL 30MG TABS,OTC
CALCIUM CITR 200MG TABS,OTC
DALFAMPRIDIN TAB 10MG ER,RX
JANUMET XR 50-500MG,RX
CERAVE OIN HEALING,OTC
CO Q-10-200MG-GELCAPS,OTC
NEBIVOLOL TAB 10MG,RX
POTASSIUM GLUCONATE 550MG,OTC
OLM MED/HCTZ TAB 40-25MG,RX
VITAMIN D3 1000U TAB (25MCG),OTC
VISINE DRY SOL EYE RLF,OTC
"PREVNAR 20 SUV, P/F, OUTER 0.5ML SYRINGE",RX
DESITIN HYPOALLERGENIC 13% CREAM (G),OTC
VENLAFAXINE HCL ER 37.5MG TAB ER 24,RX
"PRO-STAT S/F, GLUTEN/F 15G-100/30 LIQUID",OTC
CHLORPROMAZINE HCL 200MG TABLET,RX
ATOMOXETINE HCL 60MG CAPSULE,RX
VARENICLINE TARTRATE 1MG TABLET,RX
CALTRATE 600 + D CHOCOLATE TRUFFLE 600MG-800 TAB C,OTC
HALLS COUGH DROPS REG LOZENGE,OTC
GEMTESA 75MG TABLET,RX
CHILDREN'S TYLENOL 160MG/5ML ORAL SUSP,OTC
"VANCOMYCIN HCL L/F, P/F, SUV, OUTER 1GM VIAL",IV DRUG
"VANCOMYCIN HCL L/F, P/F, SUV, OUTER 1 GM 250 MLS (",IV DRUG
STEGLATRO 5MG TABLET,RX
OMEGA 3 FISH OIL 500MG CAP,OTC
AZO CRANBERRY CAP,OTC
NovoLIN N FLEXPEN 100UNIT/ML,OTC
ERRIN 0.35MG TAB,RX
AMPHETAM SALT COMBO 15MG XR,RX
SODIUM CHLORIDE0.9% FLUSH-10ML,IV SUPPLY
ZyrTEC 10MG LIQUIDGEL CAP,OTC
ALVESCO 80MCG/ACT INHALER (60),RX
PROAIR DIGIHALER-108MCG/ACT,RX
IV-PEN G POT 3MU/50ML 0.9%NS,IV DRUG
CHOLESTYRAM POW 4GM LITE,RX
AUSTEDO TAB 6MG,RX
TETRABENAZIN TAB 12.5MG,RX
BUDESONIDE SUS 32MCG,OTC
PROMETHAZINE HCL 25MG/1ML AMPUL,RX
CONSTULOSE 10GM/15ML SOLUTION,RX
GLIPIZIDE ER 10MG TAB ER 24,RX
"OCTREOTIDE ACETATE OUTER, L/F, P/F, SDV 100MCG/1ML",RX
ANAGRELIDE HCL 1MG CAPSULE,RX
TESTOSTERONE 20.25MG/1.25GM GEL MD PMP,RX
TPN SOLUTION 3000 MLS (CLINISOL /DEXTROSE IN WATER,IV DRUG
THIAMINE HCL MDV 200 MG 2 MLS,RX
"OCTREOTIDE ACETATE LATEX-FREE, SDV 100MCG/1ML VIAL",RX
TPN SOLUTION 2000 MLS (CLINISOL /DEXTROSE IN WATER,IV DRUG
ZENPEP 10-32-42K CAPSULE DR,RX
TRIHEXYPHENIDYL HCL 2MG/5ML ELIXIR,RX
DEXTROAMPHETAMINE SULFATE ER 10MG CAPSULE ER,RX
EXCEDRIN EXTRA STRENGTH CAPLET 250-250-65 TABLET,OTC
BUPRENORPHINE-NALOXONE 2 MG-0.5MG TAB SUBL,RX
OMEPRAZOLE 10MG CAPSULE DR,RX
CEFDINIR 125MG/5ML SUSP RECON,RX
OSTEO BI-FLX TAB,OTC
BUPROPN HCL TAB 450MG XL,RX
CLOTRIMAZOLE CRE 1% VAG,OTC
BLEEDCEASE MIS,OTC
LIDOCAINE HCL-1%-SOLN (50ML),RX
SPIRIVA INHAL 18MCG (5 DOSE),RX
CLOZAPINE TAB 100/ODT,RX
PERPHENAZINE TAB 8MG,RX
TETRACYCLINE CAP 500MG,RX
CYMBALTA CAP 30MG,RX
ATORVASTATIN TAB 10MG,RX
PROAIR RSPCLK INH(200 INH),RX
LOSARTAN POT TAB 50MG,RX
LEVOTHYROXIN TAB 150MCG,RX
s-e-r TRALINE TAB 25MG,RX
BROM/PSE/DM SYP,RX
SPORTSCREME CRE 10%,OTC
CARB/LEVO150 TAB /ENTACAP,RX
CEFAZOLIN 2GM IN 100ML D5W,IV DRUG
BRIMO/TIMOLO SOL 0.2/0.5%,RX
APO-VARENICLINE 0.5MG,RX
APO-VARENICLINE 1MG,RX
TIMOLOL MAL 0.5% PF SOL U/D,RX
THIRD PARY IV SUP/COMPOUND FEE,IV SUPPLY
COENZYME Q-10-100MG SOFTGEL,OTC
BRIMON/TIMOL 0.2-0.5% OP SOLN,RX
"BIOTIN 5,000 MCG TAB",OTC
OMEGA 3-6-9 CAP,OTC
nystatin-TRIAMCINOLONE OINT,RX
EUCRISA 2% OINTMENT,RX
REFRESH PLUS 0.5% OPTH SOLN UD,OTC
PERIDEX 0.12% SOLUTION,RX
PradaXA 150MG CAP (UD),RX
MICAFUNGIN 100MG/100ML NS MB+,IV DRUG
KOMBIGLYZE XR 5MG/1000MG TAB,RX
ISOSORBIDE DINITRATE TAB 20MG,RX
DESITIN OIN,OTC
IBUPROFEN TAB 200MG,OTC
RENVELA 0.8GM PACK,RX
IV-CEFTAZIDIME 2GM/100ML NS,IV DRUG
ALBUTEROL 0.083% NEB SOLN U-D,RX
VIRT-CAP,RX
TRIAMCINOLONE ACETONIDE 0.5 % OINT. (G),RX
AYR NO-DRIP SPRAY,OTC
DIALYVITE 1MG-100MG TABLET,OTC
PARICALCITOL 2MCG CAPSULE,RX
"FRAGMIN LATEX-FREE,P/F,OUTER 5000UNIT/0.2ML SYRING",RX
BACITRACIN/POLY B OPHTH 500-10K/G OINTMENT,RX
AMIKACIN SULFATE 500 MG 102 MLS (SODIUM CHLORIDE),IV DRUG
METFORMIN HCL 500MG/5ML SOLUTION,RX
COLD/HOT 4-1% MENTHOL PATCH,OTC
risperiDONE ODT 2MG TAB,RX
omeprazole 20MG ODT TAB (OTC),OTC
CLARITIN 5MG CHEW TAB,OTC
PRO-BIOTIC BLEND CAP,OTC
LORAT-PSEUDO 5-120MG ER TAB,OTC
VITAMIN B-1 250MG TAB,OTC
VITAMIN D3 TAB 50MCG,OTC
ZZZQUIL 50MG/30ML LIQUID,OTC
POTASSIUM GLUC 2MEQ(500MG) TAB,OTC
REPATHA 140MG/ML SYRINGE,RX
SECURA EXTRA PROTECT 30.6% CRM,OTC
SULFAMYLON CRE 85MG/GM,RX
SOTROVIMAB 500MG/100ML NS,IV DRUG
NORGESTIMATE-ETHINYL ESTRADIOL 3X28 DAY REGIMEN 7D,RX
MICONAZOLE 3 200MG-2% COMBO. PKG,OTC
BELLADONNA & OPIUM 30-16.2MG SUPP.RECT,RX
PROBIOTIC ACIDOPHILUS 1.5MG CAPSULE,OTC
CEFPODOXIME PROXETIL 100MG/5ML SUSP RECON,RX
TPN SOLUTION 2040 MLS (CLINISOL /DEXTROSE IN WATER,IV DRUG
TPN SOLUTION 1166.5 MLS (CLINISOL /DEXTROSE IN WAT,IV DRUG
"NOVOFINE PLUS UNIVERSAL FIT 32 GX 1/6"""" DIS NEEDLE",SUPPLY-NON IV
"SOLU-MEDROL (PF) P/F, SDV, ACT-O-VIAL 40 MG 1 MLS",RX
"DAPTOMYCIN SUV, L/F, P/F 700 MG 114 MLS (SODIUM CH",IV DRUG
DOXYCYCLINE MONOHYDRATE F/C 100MG TABLET,RX
SM EPSOM SALT GRANULES 495MG/5GM GRANULES,OTC
NEURIVA BRAIN PERFORMANCE CAPSULE,OTC
ENSURE PLUS 0.05 G-1.5 LIQUID,OTC
FISH OIL CONCENTRATE 300-1000MG CAPSULE,OTC
COLLAGEN ULTRA + C TABLET,OTC
"FUROSEMIDE SDV, LATEX-FREE 40 MG 54 MLS (SODIUM CH",RX
PEPCID COMPLETE 10-800-165 TAB CHEW,OTC
THEOPHYLLINE ANHYDROUS 300MG TAB ER 12H,RX
DULERA 100-5 MCG HFA AER AD,RX
CIPROFLOXACIN HCL-FLUOCINOLONE 0.3%-0.025%(0.25mL),RX
MULTI-VITE 9MG/15ML LIQUID,OTC
SENNA 8.6MG TABLET,OTC
ASPIRIN 325MG TABLET,OTC
VITAMIN B-1 100MG TABLET,OTC
SILACE 50MG/5ML LIQUID,OTC
AMIODARONE HCL 200MG TABLET,RX
FAMOTIDINE 40MG/5ML ORAL SUSP,RX
AMOX-CLAV 875-125 MG TABLET,RX
TRAZODONE HCL 50MG TABLET,RX
IPRATROPIUM-ALBUTEROL OUTER UD 0.5-3MG/3 AMPUL-NEB,RX
ATORVASTATIN CALCIUM F/C 80MG TABLET,RX
LEVOTHYROXINE SODIUM 75MCG TABLET,RX
OXYCODONE IMMEDIATE 5MG TABLET,RX
PRAMIPEXOLE 0.25MG TABLET,RX
ESCITALOPRAM OXALATE F/C 20MG TABLET,RX
CHLORHEXIDINE GLUCONATE 0.12% MOUTHWASH,RX
MUPIROCIN 2 % OINT. (G),RX
CAROSPIR 25MG/5ML ORAL SUSP,RX
ONE-A-DAY VITACRAVES 200MCG GUMMY,OTC
GLYBURIDE-METFORMIN HCL F/C 5 MG-500MG TABLET,RX
VALPROIC ACID SOL 250MG/5ML,RX
TIMOLOL MALEATE ONCE DAILY (ISTALOL) 0.5% DROPS,RX
BENAZEPRIL-HCTZ 20-12.5 MG TABLET,RX
PEG 3350-ELECTROLYTE LEMON 420GM SOLN RECON,RX
PODOFILOX W ACCUTIP WAND 0.5% 0.5 % SOLUTION,RX
"DAPTOMYCIN SUV, L/F, P/F 400 MG 108 MLS (SODIUM CH",IV DRUG
CODEINE SULFATE 60MG TABLET,RX
PROMETHAZINE-DM 6.25-15/5 SYRUP,RX
APIDRA SOLOSTAR PREFILLED PEN 100UNIT/1ML INSULN P,RX
REMEDY PHYTOPLEX HYDRAGUARD CREAM (G),OTC
ZIPRASIDONE HCL 40MG CAPSULE,RX
AMOXICILLIN 250MG/5ML SUSP RECON,RX
TONER TN760,SUPPLY-NON IV
C-CLOTRIM/BETA-MUPIROC2%-ZINCO,RX
LANTISEPTIC SKIN PROTECT OINT,OTC
IV-VANCO 1.25GM/250ML D5%W,IV DRUG
OFLOXACIN 0.3% OTIC SOLN,RX
IV-VANCOMYC 750MG/250ML 0.9%NS,IV DRUG
TPN SOLUTION 2100 MLS (CLINISOL /DEXTROSE IN WATER,IV DRUG
CLEAR EYES REDNESS RELIEF 0.012-0.25 DROPS,OTC
"DAPTOMYCIN SUV, L/F, P/F 750 MG 115 MLS (SODIUM CH",IV DRUG
"ACYCLOVIR SODIUM LATEX-FREE,SDV 714 MG 264.28 MLS",IV DRUG
PREPARATION H SUPPOSITORY 0.25-88.44 SUPP.RECT,OTC
DOXEPIN HCL 6MG TABLET,RX
"CHEST CONGESTION RELIEF S/F, A/F 100MG/5ML LIQUID",OTC
ATROPINE SULFATE 0.4MG/ML-1ML,RX
traMADol 100MG TAB,RX
VITAMIN B-1 500MG TAB,OTC
PlavIX 75MG TAB,RX
IPRATR-ALBUT 0.5-2.5 (3)MG/3ML,RX
IV-VANCOMYCIN 1GM/250ML 0.9%NS,IV DRUG
CIPROFLOX/D5W 400MG/200ML PGBK,IV DRUG
levETIRAcetam 500MG/5ML INJ,IV DRUG
ADVAIR HFA AER 45/21 (120),RX
LACOSAMIDE 100MG TAB,RX
GENTLE LAXAT SUP 10MG,OTC
XEROFORM NON-OCCUS OIL 2X2 DSG,IV SUPPLY
IV-DAPTOMYCIN 1000MG/100ML NS,IV DRUG
IV-cefTRIAXone 2G/100ML 0.9%NS,IV DRUG
IV-cefTRIAXone 2GM/100ML NS,IV DRUG
CA CITRATE +D 315MG-250IU TAB,OTC
DICLOFENAC SODIUM ER 100MG TAB,RX
ASMANEX HFA 50MCG/ACT (120),RX
MONISTAT 1 DAY OR NIGHT KIT,OTC
"CHEST CONGESTION RELIEF S/F, A/F 100MG/5ML LIQUID",OTC
B-COMPLEX 0.4MG TABLET,OTC
EZETIMIBE-SIMVASTATIN 10 MG-20MG TABLET,RX
OSTEO BI-FLEX 5-LOXIN 1500MG-400 TABLET,OTC
VYVANSE 60MG CAPSULE,RX
WELCHOL (COLESEVELAM) 625MG TABLET,RX
"IMIPENEM-CILASTATIN SODIUM SUV, OUTER 500MG VIAL",IV DRUG
TRIPLE OMEGA 3-6-9 400-400 MG CAPSULE,OTC
PHENOBARBITAL (1 1/2GR) 97.2MG TABLET,RX
BRILINTA F/C 60MG TABLET,RX
ACID GONE EXTRA STRENGTH 105-160MG TAB CHEW,OTC
TUMS E-X 300MG(750) TAB CHEW,OTC
CALCIUM CITRATE 250 MG CAPLET,OTC
AMLODIPINE-BENAZEPRIL 10-20 MG,RX
EUCERIN CREME (UNSCENTED),OTC
HUMULIN N 100 UNIT/ML KWIKPEN,OTC
MILLIPRED 5 MG TABLET,RX
METAMUCIL PACKET W/SUGAR,OTC
LACTOBACILLUS 1 MILLION CFU TB,OTC
FOSFOMYCIN 3 GM SACHET,RX
METAMUCIL FIBER SINGLES PKT SF,OTC
"VITAMIN D-3 2,000 UNIT SOFTGEL",OTC
AMOX TR-K CLV 875-125MG TAB,RX
AMMONIUM LACTATE 12% CREAM-OTC,OTC
FISH OIL 300MG-1000MG SOFTGELS,OTC
INSULIN LISPRO PEN INJ 100U/ML,RX
VSL#3 CAP 112.5BIL,OTC
CEFAZOLIN 2GM/ 100ML D5W,IV DRUG
LISTERINE ANTISEPTIC 12'S MOUTHWASH,OTC
IV N-DEHP CLRLNK 1.2 FILTR EACH,IV SUPPLY
BRIMONIDINE TARTRATE-TIMOLOL 0.2%-0.5% DROPS,RX
"FONDAPARINUX SODIUM PREFILLED, SD, OUTER 2.5MG/0.5",RX
LACOSAMIDE 200MG TABLET,RX
TPN SOLUTION 800 MLS (CLINISOL /DEXTROSE IN WATER/,IV DRUG
KLOR-CON 8 8MEQ TABLET ER,RX
VENLAFAXINE HCL 25MG TABLET,RX
CANDESARTAN CILEXETIL 4MG TABLET,RX
TPN SOLUTION 400 MLS (CLINISOL /DEXTROSE IN WATER/,IV DRUG
C-AL MG max-diphen-LIDOC 1:1:1,RX
CEFPODOXIME 100MG/5ML SUSP,RX
levETIRAcetam 100MG/ML-5ML CUP,RX
ANECREAM 4% CREAM,OTC
BACITRACIN/POLYMIXIN B OINT,OTC
DESITIN 40% PASTE,OTC
LOTRIMIN AF 1% CREAM,OTC
AMINO ACID COMPLEX 1000MG TAB,OTC
"DERMAGAUZE HYDROGEL DSG 4X4""",IV SUPPLY
DERMASYN AG GEL,OTC
WIXELA 500/50 MCG,RX
BREO ELLIPTA 100-25 (14INH),RX
CYCLOSPORINE EMU 0.05%,RX
DEXLANSOPRAZ CAP 60MG DR,RX
ALOGLIPTIN TAB 6.25MG,RX
BECONASE AQ SU 0.042% (180 SP),RX
TIOCONAZOLE OIN 6.5% VAG,OTC
JENTADUETO 2.5/1000MG TAB,RX
CEFAZOLIN 2GM/100ML NACL,IV DRUG
PHENYTOIN 50 MG INFATAB CHEW,RX
KRISTALOSE 10 GM PACKET,RX
KETOROLAC 0.5% OPHTH SOLUTION,RX
DAPSONE 100 MG TABLET,RX
POSACONAZOLE DR 100 MG TABLET,RX
CYCLOSPORINE MODIFIED 25 MG,RX
MINERIN LOTION FRAGRANCE-FREE LOTION,OTC
"CEFTAZIDIME SDV, LATEX-FREE 1 GM 100 MLS (SODIUM C",IV DRUG
EUCERIN UNSCENTED CREAM,OTC
NYSTATIN 100000UNIT/1GM POWDER,RX
ARNUITY ELLIPTA 200MCG/ACT-14,RX
CARTIA XT 240MG CAP,RX
IV-VENOFER 100MG/100ML 0.9%NS,IV DRUG
ACEBUTOLOL 200MG CAP,RX
amLODIPine-BENAZE 2.5-10MG CP,RX
ZALEPLON 5MG CAP,RX
ZIPRASIDONE 20MG/ML VIAL,RX
fluvoxaMINE ER 150MG CAP,RX
PIOglitazone-METFORMI 15-850MG,RX
FEROCON CAP,RX
PHENobarbital 30MG TAB,RX
Solu-CORTEF 100MG VIAL,RX
GOLD BOND DIABETIC CREAM,OTC
C-KETOCONAZOLE-HYDROCORTIS 1:1,RX
cycloSPORINE 0.05% OP EMUL U-D,RX
IV-INJECTAFER750MG/250ML0.9%NS,IV DRUG
benazepril 5MG TAB,RX
ICOSAPENT ETHYL 1GM CAP,RX
DICLOFENAC POTASSIUM 50MG TAB,RX
AMLODIPINE-ATORVASTATIN 10 MG-10MG TABLET,RX
"LIDOCAINE HCL LATEX-FREE, SDV, P/F 10MG/1ML VIAL",RX
VALSARTAN 160 MG TABLET 160MG TABLET,RX
GLIPIZIDE ER 5MG TAB ER 24,RX
"LOSARTAN POTASSIUM F/C,10X10,U-D,OUTER 25MG TABLET",RX
CENTRUM SILVER .4-300-250 TABLET,OTC
AMMONIUM LACTATE INNER 12 % CREAM (G),RX
LASIX 80MG TABLET,RX
"GLUTOSE-15 3 PAK, INNER, U-D 40 % GEL (GRAM)",OTC
NOVOLIN MIX 70/30 UNITS/ML VIAL-INS,OTC
AMMONIUM LACTATE 12 % LOTION,OTC
CALCIUM CITRATE-VITAMIN D3 315MG-250 TABLET,OTC
TUSNEL-EX 100MG/5ML LIQUID,OTC
QUETIAPINE FUMARATE ER 200MG TAB ER 24H,RX
MUCINEX DM 600MG-30MG TAB ER 12H,OTC
PEPCID COMPLETE 10-800-165 10-800-165 TAB CHEW,OTC
VALSARTAN 80MG TABLET,RX
HALOPERIDOL 2MG/ML ORAL CONC.,RX
"FISH OIL S/F,NA/F, YEAST FREE 300-1000MG CAPSULE",OTC
VITAMIN D3 OUTER UD 50MCG CAPSULE,OTC
MEMANTINE HCL ER 14MG CAP SPR 24,RX
ZIPRASIDONE HCL 80MG CAPSULE,RX
MUCINEX BI-LAYER 600MG TBBP 12HR,OTC
FIBER CHOICE PREBIOTIC FIBER SUPP 1.5GM TAB CHEW,OTC
NITROGLYCERIN PATCH 0.2MG1H PATCH TD24,RX
AQUAPHOR 41% ADV THERAPY OINT,OTC
GARLIC CAP 1000MG,OTC
NYSTOP POW 100000,RX
MINERIN CRE,OTC
DOXEPIN HCL CAP 25MG,RX
TURMERIC CURCUMIN 450MG CAPS,OTC
DESVENLAFAX TAB 100MG ER,RX
EUCERIN LOT,OTC
EUCERIN ADV REPAR FOOT CREAM,OTC
BETAMETHASONE D 0.05% OINT AUG,RX
ORPHENADRINE CITRATE ER 100MG TABLET ER,RX
SLOW RELEASE IRON 159(45)MG TABLET ER,OTC
ATOMOXETINE HCL 18MG CAPSULE,RX
DEXTROAMPHETAMINE-AMPHETAMINE 5MG TABLET,RX
SYNTHROID 100MCG TABLET,RX
ENVARSUS XR 1MG TAB ER 24H,RX
MISSING FAX MACHINE-SERIAL# O-11826,SUPPLY-NON IV
SALONPAS PATCH ADH. PATCH,OTC
"HYDROFERA BLUE FOAM 4""""X4"""" 4"""" X 4"""" BANDAGE",IV SUPPLY
AQUANIL HC 1% LOTION,OTC
glipiZIDE-metFORMIN 2.5-250MG,RX
TIMOLOL MALEATE 0.5% OP SOLN,RX
"XEROFORM NON-OCCLUSIVE 5X9""PAD",IV SUPPLY
DICLOFENAC EPOLAMINE 1.3% PTCH,RX
APTIOM 400MG TAB,RX
HYDROXYCHLOROQUINE 400MG TAB,RX
FIBER-LAX 625MG (ELEM 500MG),OTC
FLUTICASONE/SALM 232/14MCG INH,RX
KEYS FOR MED & TREATMENT CARTS,SUPPLY-NON IV
BENZOYL PER GEL 5%,OTC
ARNUITY ELPT INH 200MCG,RX
PREVNAR 20 INJ,RX
INSULIN LISPRO MIX 75/25 PEN,RX
INSULIN ASPA INJ 70/30,RX
TPN SOLUTION 2100 MLS (CLINISOL /DEXTROSE IN WATER,IV DRUG
CLEAR EYES REDNESS RELIEF 0.012-0.25 DROPS,OTC
"DAPTOMYCIN SUV, L/F, P/F 750 MG 115 MLS (SODIUM CH",IV DRUG
"ACYCLOVIR SODIUM LATEX-FREE,SDV 714 MG 264.28 MLS",IV DRUG
PREPARATION H SUPPOSITORY 0.25-88.44 SUPP.RECT,OTC
DOXEPIN HCL 6MG TABLET,RX
"OXYCODONE TAB 5MG 
",RX
SOD FLUORIDE GEL 1.1-5%,RX
THERA GEL THERAPEUTIC 0.5% SHA,OTC
LIDOCAINE INJ 1% SOLN (2ML),RX
ACETAMIN TAB 325MG,OTC
AVEENO CRE 1%,OTC
LACOSAMIDE TAB 50MG,RX
DHS TAR SHA,OTC
DIPHEN/ZINC CRE 2-0.1%,OTC
ULTRA EYE DR DRO 0.4-0.3%,OTC
SPIRIVA RESPIMAT-2.5MCG 10INH,RX
CLOBETASOL SOL 0.05%,RX
ARANESP 60MCG/0.3ML SYR,RX
FENOFIBRATE CAP 67MG,RX
GAS RELIEF DRO INFANTS,OTC
BUDESONIDE-0.25MG/2ML,RX
ARANESP 100MCG/0.5ML-SYR,RX
NEXUS TKO CONNECTOR NX4650,IV SUPPLY
HEPARIN LOCK INJ 100/ML(FLUSH),IV SUPPLY
LEVOTHYROXIN CAP 150MCG,RX
PHENELZINE TAB 15MG,RX
DOVATO TAB 50-300MG,RX
STRIVERDI AER 2.5MCG,RX
DIPHEN/ATROP TAB,RX
AMOxicillin 250MG/5ML SUSP,RX
ZINC 220MG (50MG ELEMENTA) CAP,OTC
AVYCAZ 2GM/0.5GM,IV DRUG
DAPTOMYCIN 300MG/100ML NS,IV DRUG
ENVARSUS XR 1MG TAB,RX
C-TACROLIMUS SUSP 1MG/ML,RX
ATROPINE 1% OPTH.OINTMENT,RX
STEGLATRO 15MG TAB,RX
MALE LEUR-LOK CAP STERILE,IV SUPPLY
IV-DAPTOmycin 500MG/100ML NS,IV DRUG
SIROLIMUS 1MG/ML SOLN,RX
PROGRAF 1MG GRANULE PACKET,RX
IV-cefTAZidime 3GM/100ML0.9%NS,IV DRUG
SUBOXONE 4-1MG SL FILM,RX
MINOXIDIL 10MG TABLET,RX
PROSTATE SUPPORT CAPSULE,OTC
MOMETASONE FUROATE 0.1 % OINT. (G),RX
FLUOCINOLONE ACETONIDE SCALP 0.01 % OIL,RX
PANCREAZE 2.6 K-6.2K CAPSULE DR,RX
BACLOFEN 5MG/5ML ORAL SUSP,RX
VASCEPA 0.5GM CAPSULE,RX
ICY HOT ROLL ON 16%,OTC
AIRBORNE CHEW TAB,OTC
ROBITUSSIN CC DM 20-200MG/20ML,OTC
MICONAZOLE-7 2% VAGINAL CREAM,OTC
